,,,,,
,Part Name,Quantity,Price (PKR),Price(USD),Link
,Raspberry Pi Pico,1,1180,4.26,https://www.aliexpress.com/item/1005007525241877.html?spm=a2g0o.productlist.main.4.43b148d6ZrNzf7&aem_p4p_detail=202609230643562216483263322960000184090&algo_pvid=17a7c098-8d8b-4858-b75a-72652692e43e&algo_exp_id=17a7c098-8d8b-4858-b75a-72652692e43e-3&pdp_ext_f=%7B%22order%22%3A%22325%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21PKR%211192.09%211180.17%21%21%213.78%213.74%21%4021413b0b17901710360702358e0d39%2112000041151220652%21sea%21PK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ab06fa4a9%3Bm03_new_user%3A-29895%3BpisId%3A5000000217704499&curPageLogUid=U38YTlKgBwOG&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007525241877%7C_p_origin_prod%3A&search_p4p_id=202609230643562216483263322960000184090_1
,Outemu switches (Dust proof Blue 70 pcs),1,3870,13.98,https://www.aliexpress.com/item/1005002378701948.html?gatewayAdapt=usa2glo4itemAdapt
,Blank 1u keycaps (Blue 20 pcs),3,3531,12.76,https://www.aliexpress.com/item/1005009364428646.html?spm=a2g0o.productlist.main.30.2341185d9DS17W&algo_pvid=f394a6b8-5588-4890-873e-1300bf23d5cb&algo_exp_id=f394a6b8-5588-4890-873e-1300bf23d5cb-29&pdp_ext_f=%7B%22order%22%3A%22791%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21PKR%21728.50%21721.21%21%21%212.31%212.29%21%402141397017901718385882094e0d8e%2112000048873877380%21sea%21PK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ab06fa4a9%3Bm03_new_user%3A-29895%3BpisId%3A5000000217704499&curPageLogUid=3Sfr8F6rZOH2&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009364428646%7C_p_origin_prod%3A
,Blank 2u keycaps (White 4pcs),1,2293,8.28,https://www.aliexpress.com/item/1005009812188022.html?spm=a2g0o.productlist.main.2.4eca741cReiOAS&algo_pvid=c0363f90-a557-4868-81f4-b80defe1cf91&algo_exp_id=c0363f90-a557-4868-81f4-b80defe1cf91-1&pdp_ext_f=%7B%22order%22%3A%22222%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21PKR%21728.50%21725.35%21%21%212.31%212.30%21%402140ec2d17901729128737488e0d9e%2112000050251494053%21sea%21PK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ab06fa4a9%3Bm03_new_user%3A-29895%3BpisId%3A5000000216890786&curPageLogUid=awOHYt1oIXQ8&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009812188022%7C_p_origin_prod%3A
,Blank 2.25u keycaps (White 3pcs),2,4560,16.47,https://www.aliexpress.com/item/1005009812188022.html?spm=a2g0o.productlist.main.2.4eca741cReiOAS&algo_pvid=c0363f90-a557-4868-81f4-b80defe1cf91&algo_exp_id=c0363f90-a557-4868-81f4-b80defe1cf91-1&pdp_ext_f=%7B%22order%22%3A%22222%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21PKR%21728.50%21725.35%21%21%212.31%212.30%21%402140ec2d17901729128737488e0d9e%2112000050251494053%21sea%21PK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ab06fa4a9%3Bm03_new_user%3A-29895%3BpisId%3A5000000216890786&curPageLogUid=awOHYt1oIXQ8&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009812188022%7C_p_origin_prod%3A
,Blank 6.25u keycaps (White 1pcs),1,1082,3.91,https://www.aliexpress.com/item/1005009812188022.html?spm=a2g0o.productlist.main.2.4eca741cReiOAS&algo_pvid=c0363f90-a557-4868-81f4-b80defe1cf91&algo_exp_id=c0363f90-a557-4868-81f4-b80defe1cf91-1&pdp_ext_f=%7B%22order%22%3A%22222%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21PKR%21728.50%21725.35%21%21%212.31%212.30%21%402140ec2d17901729128737488e0d9e%2112000050251494053%21sea%21PK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ab06fa4a9%3Bm03_new_user%3A-29895%3BpisId%3A5000000216890786&curPageLogUid=awOHYt1oIXQ8&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009812188022%7C_p_origin_prod%3A
,Stabilizers (6.25u and 7pcs 2u),1,2059,7.44,https://www.aliexpress.com/item/1005001831944910.html?spm=a2g0o.productlist.main.11.1b28486fUhzIzf&algo_pvid=0eed9d93-f203-456b-b77d-3fcd1fbc2ba3&algo_exp_id=0eed9d93-f203-456b-b77d-3fcd1fbc2ba3-10&pdp_ext_f=%7B%22order%22%3A%2252%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21PKR%211895.36%211892.21%21%21%216.01%216.00%21%402140f2bd17901731959804480e107a%2112000017788498378%21sea%21PK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ab06fa4a9%3Bm03_new_user%3A-29895%3BpisId%3A5000000216890786&curPageLogUid=kB5NnKTLfRyt&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001831944910%7C_p_origin_prod%3A
,1N4148 Diodes (100 pcs),1,281,1.02,https://www.aliexpress.com/item/1005002339916163.html?spm=a2g0o.productlist.main.4.1831648divj3Jl&aem_p4p_detail=20260923073237487733744977270000234285&algo_pvid=a5a4a9e5-5f36-4148-9510-111aafd04d49&algo_exp_id=a5a4a9e5-5f36-4148-9510-111aafd04d49-3&pdp_ext_f=%7B%22order%22%3A%221266%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21PKR%21280.68%21280.68%21%21%210.89%210.89%21%402102ef5e17901739570066789e0e57%2112000020175180916%21sea%21PK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ab06fa4a9%3Bm03_new_user%3A-29895&curPageLogUid=m9Hbum8CRPFE&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002339916163%7C_p_origin_prod%3A&search_p4p_id=20260923073237487733744977270000234285_1
,PCB from JLCPCB ,5,5946,21.4,https://cart.jlcpcb.com/quote?stencilLayer=2&stencilWidth=100&stencilLength=100&stencilCounts=5&plateType=1&spm=Jlcpcb.Homepage.1010
,PCB shipping costs,,7726,27.91,
